web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556736545-3345","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@MCU_Direct","MCU Direct","""Be ready."" The sequel to #BlackPanther is already being hyped up by actor @SterlingKBrown, relating the upcoming film to the worthy follow-up ""The Godfather Part II.""  http://bit.ly/2MDYK3r pic.twitter.com/5rZyngxkF2","69","595","3.1K","1548731027000","7:03 PM - 28 Jan 2019","/MCU_Direct/status/1090083054822019072"
"1556736545-3353","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@DanaiGurira","Danai Gurira","Welp! Then that happened!! Thank you to our fellow Actors for this incredible recognition! I’m grateful to be able to do the work I love with so many people I admire and respect. And because it can’t be said enough: WAKANDA FOREVER! 

#BlackPanther #SAGAwardspic.twitter.com/E2WDH15vDm","169","1.4K","9.0K","1548722220000","4:37 PM - 28 Jan 2019","/DanaiGurira/status/1090046115339296769"
"1556736545-3283","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@mayasworld","Shameless Maya","#ThrowbackThursday - Celebrating Kathleen Cleaver, Communications Secretary for the #BlackPanther #BlackHistoryMonthpic.twitter.com/kPm5prE77C","1","15","72","1549592101000","6:15 PM - 7 Feb 2019","/mayasworld/status/1093694661091311616"
"1556736545-3273","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@spann","James Spann","Epic day with my Super Hero friends Spider-Man and Black Panther from @MarvelUniverseLive 

#MarvelUniverseLive
#MarvelOnTour #BlackPanther #SpiderManpic.twitter.com/oih0T1gH84","1","4","70","1549482500000","11:48 AM - 6 Feb 2019","/spann/status/1093234959345696768"
"1556736545-3375","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@TomatazosCom","Tomatazos","#BlackPanther ganó el premio al Mejor Elenco en los #SAGAwards, pero los actores no agradecieron a #StanLee y los fans de #Marvel están furiosos : ------>http://bit.ly/2WrXCnZ","","","5","1548720000000","4:00 PM - 28 Jan 2019","/TomatazosCom/status/1090036802545729536"
"1556736545-3318","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@xeni","Xeni","See 'Black Panther' in theaters for free! #BlackPanther plays for free at 250 movie theaters for 1 week starting Friday February 1. Walt Disney Company is also granting $1.5 million to the United Negro College Fund. https://boingboing.net/2019/01/31/see-black-panther-on-the-big-s.html …pic.twitter.com/JW5M5vpvN2","1","17","43","1548988261000","6:31 PM - 31 Jan 2019","/xeni/status/1091161972551413760"
"1556736545-3333","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@ToddNauck","Todd Nauck","Disney Cruise Lines’ “Marvel Day at Sea” offered cool character photo ops. I couldn’t make it to meet up with Spider-Man, Black Panther, Iron Man, and Groot... 
So I sent my ""pal"", Peter B. Parker!!! 
#spiderman #blackpanther #peterbparker #marvel #disneycruisepic.twitter.com/lRyVcxTtez","24","266","1.1K","1548784842000","10:00 AM - 29 Jan 2019","/ToddNauck/status/1090308768401743872"
"1556736545-3312","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@MTV","MTV",".@Lupita_Nyongo sat down with @JoshuaHorowitz to discuss the much-deserved success of #BlackPanther and the upcoming sequel. pic.twitter.com/iwgYvHSu5f","1","15","164","1549044900000","10:15 AM - 1 Feb 2019","/MTV/status/1091399532099690498"
"1556736545-3303","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@arttavana","Art Tavana","""Black Panther"" shouldn't be nominated for an Oscar. It's an average movie, actually, it was bad. It's being nominated because we live in a county where cinema is a propaganda tool, not an artistic medium. Politics > art. #Oscars #BlackPanther","9","15","70","1549180842000","12:00 AM - 3 Feb 2019","/arttavana/status/1091969712953614336"
"1556736545-3357","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@mrshawnfrank","Shawn J. Frank","This is why Black Panther became a movement instead of just another super hero movie! #blackpanther #WakandaForever #marvel #shuri #sagawards #MondayMotivation #stanlee #tchalla #Killmongerhttps://twitter.com/tntdrama/status/1089721025162432512 …","","","1","1548721787000","4:29 PM - 28 Jan 2019","/mrshawnfrank/status/1090044298807136256"
"1556736545-3282","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@ComicBook","Comicbook.com","Wakanda forever! Free #BlackPanther comics are now being offered by Marvel in celebration of #BlackHistoryMonth. How to get yours: 

https://comicbook.com/marvel/2019/02/07/marvel-free-black-panther-comics-black-history-month/ …pic.twitter.com/AMl8b07Ca8","1","15","42","1549593900000","6:45 PM - 7 Feb 2019","/ComicBook/status/1093702205004177409"
"1556736545-3321","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@DanaiGurira","Danai Gurira","In case you missed it, #BlackPanther is back in theaters tomorrow! For FREE. For EVERYONE. Here's what you do --> http://weticketit.com/blackpanther .  https://twitter.com/MarvelStudios/status/1089976419612995584 …","47","690","2.6K","1548954200000","9:03 AM - 31 Jan 2019","/DanaiGurira/status/1091019108903194625"
"1556736545-3376","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","null","null","null","null","null","null","null","null","null"
"1556736545-3262","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@JazzBatman","Jazzthebat","Proud to be part of The Space Between: Celebrating Black Womxn in Geekdom 
Follow @TaLynnKel to check out more from this project! 
#28daysofBlackCosplay #BlackGirlGeekOut #CosplayAnyWay #GeekDifferently #BreakingNormal #BlackPanther #mbaku #cosplayingwhileblackpic.twitter.com/QjzRzRV0fo","4","106","272","1549655546000","11:52 AM - 8 Feb 2019","/JazzBatman/status/1093960768654110720"
"1556736545-3294","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@marieclaire","Marie Claire",".@Lupita_Nyongo is our March cover star! The #BlackPanther star opens up about her love of horror films, confronting her fears, and why ""you must always go where you're loved"". http://mrie.cl/o88XrFu pic.twitter.com/yMTf9e4lr6","7","87","195","1549372190000","5:09 AM - 5 Feb 2019","/marieclaire/status/1092772285440843776"
"1556736545-3298","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@Marvel","Marvel Entertainment","Long live the king! Use redeem code 'FOREVER' at http://www.marvel.com/redeem  to get a FREE digital bundle of five #BlackPanther comics and celebrate Wakanda Forever all month long. http://Marvel.com  account required to redeem.pic.twitter.com/9DKSscB7lC","13","240","1.4K","1549285178000","4:59 AM - 4 Feb 2019","/Marvel/status/1092407332926033920"
"1556736545-3355","https://twitter.com/search?l=&q=black%20panther%20%23blackpanther%20since%3A2019-01-29%20until%3A2019-02-09&src=typd","@CityNewsVAN","CityNews Vancouver","#BlackPanther took home outstanding performance by a cast at the #SAGAwards Sunday night. @devobrown has a full recap of the show.https://www.citynews1130.com/video/2019/01/28/black-panther-wins-big-at-the-sag-awards/ …","","1","1","1548721800000","4:30 PM - 28 Jan 2019","/CityNewsVAN/status/1090044353505083393"
