web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556739755-5085","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ARRIChannel","ARRI","WATCH: Director Adam McKay narrates a scene from @vicemovie. Nominated for eight Oscars including Best Picture and Best Director, DP Greig Fraser captured the film with the ARRICAM LT. #VICE #filmmakerfriday #capturedwitharri #ARRIhttps://www.nytimes.com/video/movies/100000006311858/vice-anatomy-of-a-scene.html …","","5","13","1550837100000","4:05 AM - 22 Feb 2019","/ARRIChannel/status/1098916565247029255"
"1556739755-5093","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@ThePlaylist","The Playlist  🎬","""As the world becomes more and more confusing, we tend to focus on the things that are right there in front of us. While ignoring the massive forces that actually change and shape our lives.""
#Vice https://bit.ly/2GThH1v pic.twitter.com/HNhm974cFF","","7","33","1550585107000","6:05 AM - 19 Feb 2019","/ThePlaylist/status/1097859630091374592"
"1556739755-5069","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@top10films","Top 10 Films","With #Vice in cinemas we thought it a good idea to sample some striking actor transformations like Christian Bale seems very adept at. https://www.top10films.co.uk/51084-top-10-physical-transformations-undergone-by-actors-preparing-for-a-single-role/ …","","","2","1550916456000","2:07 AM - 23 Feb 2019","/top10films/status/1099249409534103554"
"1556739755-5063","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@rramos1032","Ricardo Ramos","In the past 13 months or so, I watched 76 films from 2018. Here are my top ten:
10. #AtEternitysGate
9. #Thoroughbreds 
8. #Widows 
7. #BealeStreet
6. #LoveSimon
5. #AStarIsBorn
4. #Vice
3. #GenerationWealth
2. #TheFavourite 
1. #ROMACuarón 

https://ricardoramos1032.blogspot.com/2019/02/top-ten-motion-pictures-of-2018.html?fbclid=IwAR0BYGm-3luRpL7xK7dlWKK5DKy7aBm5ub0xCVUZHrO--DIbcOLrV_z0Dec …

#FilmTwitterpic.twitter.com/MZaYc38sqC","1","1","5","1550957889000","1:38 PM - 23 Feb 2019","/rramos1032/status/1099423188440608768"
"1556739755-5084","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@NSArchive","NatlSecurityArchive","The #VICE File: Dick #Cheney Declassified - #Oscar-worthy Documents on the Dark Side, from Cheyenne to Baghdad https://nsarchive.gwu.edu/briefing-book/foia/2019-02-22/vice-file-dick-cheney-declassified …","","5","4","1550855472000","9:11 AM - 22 Feb 2019","/NSArchive/status/1098993622731628544"
"1556739755-5060","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@psegaliv","Phal Sea Guy","Sneak peak of what it’s like to experience one of @HavanaPhils events. #StriveForGreatness #Cigars #Botl #Entrepreneur #Luxury #Vice pic.twitter.com/x7Lddzqezd","","3","4","1550869722000","1:08 PM - 22 Feb 2019","/psegaliv/status/1099053391462973441"
"1556739755-5059","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@arvindergujral","Arvinder Gujral","Please watch #Vice the movie about Dick Cheney. That one scene where the waiter offers all extra judicial powers to Cheney and Rumsfeld deserves an #Oscars And honestly I think #ChristianBale is the real Cheney","1","","4","1550295405000","9:36 PM - 15 Feb 2019","/arvindergujral/status/1096644531959676929"
"1556739755-5110","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@PiliraniKhoza1","Pilirani Khoza","Make your stay at University of Pretoria (Up) count, make your time at #UP matter #Vice-Chancellor & Principal Prof Tawana Kupe Keynote adress at the Launch of Mastercard foundation Scholars Program 2019 @MastercardFdn @UPTuks @Tons1330pic.twitter.com/4sGOzY9VWn","2","1","7","1550242722000","6:58 AM - 15 Feb 2019","/PiliraniKhoza1/status/1096423563622576129"
"1556739755-5120","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@srikanth_iam","Srikanth","#Vice a movie to watch out for #ChristianBale  and #Republicans can stay away from this movie","","","","1550120868000","9:07 PM - 13 Feb 2019","/srikanth_iam/status/1095912470990983170"
"1556739755-5067","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2019-02-14%20until%3A2019-02-24&src=typd","@FilminYouIn","Filming You In","The Academy Awards are Sunday. Catch up & hear our opinions on the Best Picture nominees on @FilminYouIn #movies #AcademyAwards⁠ ⁠ #BlackPanther #BlacKkKlansman #BohemianRhapsody⁠ ⁠ #roma #GreenBook #AStarIsBorn #Vice #TheFavourite #SaturdayMotivationhttps://itunes.apple.com/us/podcast/filming-you-in/id1450199000?mt=2#episodeGuid=http%3A%2F%2Fawscdn.podcasts.com%2FEpisode-6-Oscar-Special-and-Coming-Attractions-32a9.m4a …","","3","9","1550894348000","7:59 PM - 22 Feb 2019","/FilminYouIn/status/1099156678220623873"
