web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740565-5454","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@10Daily","10 daily","When is the Academy going to get a pet category happening? Bradley Cooper's dog Charlie was the real Star of a A Star Is Born. Charlie is named after Bradley's late father, Charles Cooper. #oscars #astarisborn #LadyGagapic.twitter.com/yoq82AjJg4","","5","13","1551078628000","11:10 PM - 24 Feb 2019","/10Daily/status/1099929604859392001"
"1556740565-5436","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@AgerwalNidhhi","Nidhhi Agerwal","Watched a star is born yesterday.. man I can’t stop thinking about the film and how beautiful every single shot was #AStarIsBorn  Bradley Cooper needs to make more Films","27","83","1.8K","1551595554000","10:45 PM - 2 Mar 2019","/AgerwalNidhhi/status/1102097749569388546"
"1556740565-5457","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@GettyVIP","Getty Images VIP","From A Star is Born - Bradley Cooper brings mom Gloria Campano & wife Irina Shayk as Lady Gaga blows kisses arriving on the #RedCarpet. For more  #Oscars coveragehttps://bit.ly/2GM1HOs 

#Oscars2019 #oscarsredcarpet #hollywood #LadyGaga #BradleyCooper #IrinaShayk #AStarIsBorn pic.twitter.com/rHCN1RZue5","1","6","11","1551055926000","4:52 PM - 24 Feb 2019","/GettyVIP/status/1099834386986332160"
"1556740565-5462","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@TShirahane","Takumi Shirahane","Ahora viendo los #Oscars !! Que gane como mejor película A Star Is Born!, es la mejor LA AMO! 
@TNTLA
#Vibramosjuntos 
#RedCarpet 
#AStarIsBorn 
#LadyGagaOscar","","","","1551055004000","4:36 PM - 24 Feb 2019","/TShirahane/status/1099830519620096001"
"1556740565-5421","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@Profit_God","Profit God","Just starting the Oscars. I review movies, so I guess I should watch. Adam Lambert sings Queen. Ok. Bohemian Rhapsody was a great movie, but A Star Is Born was better. #AStarIsBorn #Oscars","","1","2","1551061186000","6:19 PM - 24 Feb 2019","/Profit_God/status/1099856450778673152"
"1556740565-5431","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@CGSHollywood","Couch Guy Hollywood","Is A Star Is Born’s SHALLOW the BEST ORIGINAL SONG at the #Oscars ?? #AStarIsBorn #BradleyCooper #LadyGaga #RedCarpetLive #Shallow #BlackPanther #WakandaForever","","3","5","1551054293000","4:24 PM - 24 Feb 2019","/CGSHollywood/status/1099827536819703809"
"1556740565-5459","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@hayes1942","mountain girl","Watched ""A Star Is Born"" last night. I mean, what exactly do they think Bradley Cooper using the ""F"" word 500 times, added to the film? Is this what young people have to have? #AStarIsBorn","","","","1551055607000","4:46 PM - 24 Feb 2019","/hayes1942/status/1099833050899206144"
"1556740565-5422","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@BoxOffice","Boxoffice","A STAR IS BORN
$1.85M Weekend (Actual)
1,235 Screens / $1,501 Avg.
Weekend 22 / +203.8% Change
$212.88M Total (North America)
#AStarIsBorn #BoxOffice","","5","24","1551732752000","12:52 PM - 4 Mar 2019","/BoxOffice/status/1102673200171880451"
"1556740565-5453","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@BradBaeSaur1999","George • The Nerd Peruvian Dinosaur Boy •  🇵🇪 🦖","Edit inspired by this great movie and obviously in @DBradbery  ""A Star Is Born"" #AStarIsBorn pic.twitter.com/e97xlMKw2Z","2","2","16","1551136408000","3:13 PM - 25 Feb 2019","/BradBaeSaur1999/status/1100171951853703169"
"1556740565-5423","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2019-02-25%20until%3A2019-03-07&src=typd","@AlyssaStrums","Alyssa Strums","Did a little “Always Remember Us This Way” since it’s my favorite song from A Star is Born!  #astarisborn #ladygaga #cover #oscars #bradleycooperpic.twitter.com/8haNLg6Wuz","","2","15","1551228206000","4:43 PM - 26 Feb 2019","/AlyssaStrums/status/1100556981637652481"
