web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740198-5306","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@cevangelista413","Chris Evangelista","Hello, it me: the person who loved #VICE. Here's my @slashfilm review: http://bit.ly/2rHjain pic.twitter.com/y9FBkYuARb","4","8","31","1545066111000","9:01 AM - 17 Dec 2018","/cevangelista413/status/1074711282236968960"
"1556740198-5241","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@thedailybeast","The Daily Beast","Senior entertainment reporter @kpfallon on the Cheney biopic #Vice: ""I nearly walked out"" https://thebea.st/2ErsQFi","8","10","14","1545072002000","10:40 AM - 17 Dec 2018","/thedailybeast/status/1074735991812997121"
"1556740198-5299","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@OwenGleiberman","Owen Gleiberman","Adam McKay's #Vice is a vengeful circus for liberals, but it never confronts the question I wanted to get an answer to. Namely: Who is Dick Cheney? My @Variety review:https://bit.ly/2rITCRY","3","10","48","1545077941000","12:19 PM - 17 Dec 2018","/OwenGleiberman/status/1074760900672978945"
"1556740198-5267","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Kodak_ShootFilm","Motion Picture Film","Kudos to these #CriticsChoice Nominations #ShotOnFilm
 #BlacKkKlansman
 #TheFavourite
 #FirstMan
 #Vice
 #BoyErased
 #AQuietPlace
 #Mid90s
 #Widows
 #Suspiria 
 #MissionImpossibleFallout
 #ReadyPlayerOne
 #Shoplifters
 #Dumplin’pic.twitter.com/agYZbn5IC4","2","72","196","1544554862000","11:01 AM - 11 Dec 2018","/Kodak_ShootFilm/status/1072566950243520512"
"1556740198-5281","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@TheCurbAU","Andrew Not Andy","#Vice is - quite simply - a masterpiece of cinema. It's a searing, darkly comedic look at the horrific mess politics has ended up in. 

https://www.thecurb.com.au/vice-review/ pic.twitter.com/NiqfJpfeRm","3","2","7","1545129323000","2:35 AM - 18 Dec 2018","/TheCurbAU/status/1074976414221234176"
"1556740198-5296","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Variety","Variety","The lead singer of Alabama Shakes and the choreographer of #Hamilton helped craft a musical number for #Vice. Alas, the scene was cut https://bit.ly/2Ewjrwk pic.twitter.com/x2N5lp1tPh","2","7","30","1545278460000","8:01 PM - 19 Dec 2018","/Variety/status/1075601937712726017"
"1556740198-5303","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@ThePlaylist","The Playlist  🎬","#Vice #BohemianRhapsody #MaryQueenofScots
MakeUp & Hairstyling Oscar Shortlist
https://bit.ly/2USYu4w pic.twitter.com/APQtjsDlQx","","3","9","1545147263000","7:34 AM - 18 Dec 2018","/ThePlaylist/status/1075051660257476608"
"1556740198-5249","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@sunriseon7","Sunrise","Christian Bale and Amy Adams talk #Vice, their new film about the life of former U.S. Vice President Dick Cheney. pic.twitter.com/omaYcQjiG6","","4","13","1544648125000","12:55 PM - 12 Dec 2018","/sunriseon7/status/1072958122321338369"
"1556740198-5240","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@cherbaebae","YourFineAssAuntie","I want to retweet this so many times cause I haven’t watched #vice since they left  you know what vice can do: pic.twitter.com/WZnveHaoLe","2","4","80","1545172999000","2:43 PM - 18 Dec 2018","/cherbaebae/status/1075159602872901632"
"1556740198-5233","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@AssholeMovies","A. Movies","Sam Rockwell and Christian Bale get cozy at the premiere of #Vice pic.twitter.com/Qp36u1kyHd","","5","21","1544639656000","10:34 AM - 12 Dec 2018","/AssholeMovies/status/1072922599808614400"
"1556740198-5322","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Variety","Variety","Lily Rabe, who plays Liz Cheney, on seeing Christian Bale as Dick Cheney for the first time while shooting #Vice pic.twitter.com/Zq9gCPPrBQ","1","55","185","1544585567000","7:32 PM - 11 Dec 2018","/Variety/status/1072695734711934976"
"1556740198-5266","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@Purrlin37","Purrlin","Christian Bale deserves an Oscar for this transformation alone. Wow! #Vice pic.twitter.com/302hqw1xpy","1","1","6","1544796216000","6:03 AM - 14 Dec 2018","/Purrlin37/status/1073579259950714880"
"1556740198-5264","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@mjfit","Men's Journal + Fitness","#ChristianBale pulled off another transformation for #Vice. 
https://www.mensjournal.com/entertainment/christian-bales-most-extreme-body-transformations-for-movie-roles/ …","2","3","20","1545370205000","9:30 PM - 20 Dec 2018","/mjfit/status/1075986746456846336"
"1556740198-5274","https://twitter.com/search?l=&q=vice%20%23vice%20since%3A2018-12-11%20until%3A2018-12-22&src=typd","@thedailybeast","The Daily Beast","""Sitting through [Dick Cheney biopic] 'Vice' is the most exhausting and frustrating viewing experience of the year"" https://thebea.st/2Es2OSj  #Vice","13","13","26","1545100803000","6:40 PM - 17 Dec 2018","/thedailybeast/status/1074856791698214913"
