web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1556740763-5469","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@LordJesseGaga","Jesse","wiiiig gaga liked this picture of mine and dana’s A Star Is Born costume  #astarisborn @ladygagapic.twitter.com/LnNDnAMSA5","33","137","1.9K","1540966886000","11:21 PM - 30 Oct 2018","/LordJesseGaga/status/1057517887240503297"
"1556740763-5498","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@EizabethAnn","liz 🌻","If you don’t cry at A Star Is Born then you just aren’t human. I love and hate this movie all at the same time  #AStarIsBorn @ladygaga","","2","6","1540151069000","12:44 PM - 21 Oct 2018","/EizabethAnn/status/1054096102067187713"
"1556740763-5573","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@boozymoviespod","Boozy Movies","AHHahhAHHahhaHHH-re you ready for our episode on A STAR IS BORN? We chat Gaga and Cooper PLUS a delicious cocktail with vodka from @warriorliquor 

Listen Now:
Apple Pods: https://apple.co/2KlbrOO 
Libsyn: https://bit.ly/2OV40TY 

#AStarIsBorn #LadyGaga #LadyPodSquad #TryPod pic.twitter.com/0Ew9kIo17r","3","43","43","1539392921000","6:08 PM - 12 Oct 2018","/boozymoviespod/status/1050916197292597248"
"1556740763-5552","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@BORReport","BoxOfficeReport.com","A Star is Born passed the $100M domestic mark after grossing an estimated $3.95M on Tuesday.  Total gross stands at $101.49M.

#AStarIsBorn  #BoxOffice  @wbpictures  @starisbornmovie","3","118","302","1539785129000","7:05 AM - 17 Oct 2018","/BORReport/status/1052561237794406401"
"1556740763-5514","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@Rachael_Stray","Rachael Stray","Here’s my thoughts on A Star is Born  don’t worry there’s no spoilers! 

http://ow.ly/BZIM30mjpiO 

#nebloggers #nefollowers #AStarIsBorn 

@allthoseblogs @blogsretweet  @BestBlogRT @BBlogRT @TheGirlGangHQ @FabBloggersRT @FemBloggers @LovingBlogs","","4","4","1540647304000","6:35 AM - 27 Oct 2018","/Rachael_Stray/status/1056177462122553344"
"1556740763-5551","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@GagaStanAccount","ᴀᴅɪ","Congratulations to the Entire Team of A STAR IS BORN on This Milestone!

#ASIB #AStarIsBorn @ladygaga @bobby_campbellpic.twitter.com/J4c2eV1DxL","","15","88","1539794493000","9:41 AM - 17 Oct 2018","/GagaStanAccount/status/1052600515199025152"
"1556740763-5494","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@brandicarlile","Brandi Carlile","hank you Bradley! I loved being in the studio with you too 
Please tell us that A Star Is Born won’t be the last time we hear music from you?... @ladygaga @lukasnelson @ibradlycooper @MarlonWMusic 
#astarisborn  pic.twitter.com/sqv5yt6bFW","29","58","652","1540053574000","9:39 AM - 20 Oct 2018","/brandicarlile/status/1053687179212337152"
"1556740763-5554","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@jaakemeIIor","jake mellor","I legit can’t stop listening to this song. I’ve been singing it since I saw the film. It’s one of the best songs on the A Star Is Born Soundtrack. It’s so catchy, and the lyrics are SO beautiful. @ladygaga  #AStarIsBorn @starisbornmoviepic.twitter.com/9Sdfwmdx4a","","10","68","1539730832000","4:00 PM - 16 Oct 2018","/jaakemeIIor/status/1052333502065184768"
"1556740763-5574","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@michaelcanitrot","Michael Canitrot","« A star is born » best movie I have seen this year! Amazing soundtrack and performances #AStarIsBorn #LadyGaga #BradleyCooperpic.twitter.com/SoYZhEzYYH","","2","11","1539390354000","5:25 PM - 12 Oct 2018","/michaelcanitrot/status/1050905433572020224"
"1556740763-5483","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@kimmelaine__","Kim Elaine","Saw A Star is Born for the second time and I think I was even more emotional than the first time. Lady Gaga and Bradley Cooper are phenomenal and the music is incredible. Already want to watch it again  #AStarIsBorn","7","72","492","1540394028000","8:13 AM - 24 Oct 2018","/kimmelaine__/status/1055115146018738176"
"1556740763-5521","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@MattZionWE","Matt Zion","A Star Is Born destroyed me emotionally lol. Beautiful film with only a few minor issues. Cooper deserves an Oscar. Got lost in that character right away. #astarisborn","8","","34","1540483760000","9:09 AM - 25 Oct 2018","/MattZionWE/status/1055491508348964865"
"1556740763-5544","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@BCooperfanpage","BradleyCoopNews (Fan Account)","Bradley Cooper and #ladygaga A star is born Venise ,UK and Toronto premiere  #AStarIsBornMovie #AStarIsBorn #bradleycooper @ladygagapic.twitter.com/uWFdubi5Fb","","7","50","1540150274000","12:31 PM - 21 Oct 2018","/BCooperfanpage/status/1054092767457144832"
"1556740763-5542","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@suchitrak","Suchitra Krishnamoorthi","Dear ignoramus. #AStarIsBorn is NOT a copy of #Ashiqui  2 haha. But Ashiqui 2 is a ditto  copy of the 1976 film A star is born starring Barbara Striesand and Kris Kristofferson","4","3","28","1540177840000","8:10 PM - 21 Oct 2018","/suchitrak/status/1054208389356679170"
"1556740763-5536","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@MIAKAT_15","Mia","Watched ""A star is born"" yesterday it's a great film. @ladygaga was fabulous, what an amazing voice. Awesome performance by Bradley Cooper. I loved the final song ""I'll never love again"" #AStarIsBorn pic.twitter.com/6skWfHYUDL","","1","36","1540575543000","10:39 AM - 26 Oct 2018","/MIAKAT_15/status/1055876476950716417"
"1556740763-5535","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@nina_network","Nina Dobrev Network","‘A Star is Born’ at Casamigos Halloween Party, @ninadobrev is most creative with her costume!  http://nina-dobrev.us/a-star-is-born-at-casamigos-halloween-party-nina-is-most-creative-with-her-costume/ … #ninadobrev #halloween #CasamigosHalloween #AStarIsBorn  #babystar #party #costumepic.twitter.com/9TZbnl8d1w","1","14","41","1540644958000","5:55 AM - 27 Oct 2018","/nina_network/status/1056167621719134208"
"1556740763-5585","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@nightzel","₦ł₲Ⱨ₮ⱫɆⱠ","I just watched A Star is Born and I cried 4-5 times and at the end I could not sip crying and when I was in the bathroom after the session I was still crying! Cooper deserves an Oscar!!! @starisbornmovie  @ladygaga #gaga #asib #astarisborn #starisborn","","","1","1539311890000","7:38 PM - 11 Oct 2018","/nightzel/status/1050576331321294848"
"1556740763-5473","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@contactjisaac","J Isaac","I never thought I'd say anything like this, but ... ""A Star Is Born"" is literally this decades' ""The Bodyguard"" ... Gaga, take your place. #AStarIsBorn #TheNewWhitney #ItAllMakesSenseNow","1","1","6","1540603579000","6:26 PM - 26 Oct 2018","/contactjisaac/status/1055994064976465920"
"1556740763-5596","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@lcarter734","Lcarter","A STAR IS BORN great movie/date night! #AStarIsBorn","","","4","1539307919000","6:31 PM - 11 Oct 2018","/lcarter734/status/1050559676339941377"
"1556740763-5601","https://twitter.com/search?l=&q=a%20star%20is%20born%20%23astarisborn%20since%3A2018-10-12%20until%3A2018-11-01&src=typd","@tanyamparker","Tanya Parker","Seriously. A Star is Born is destroying white folks. Maybe some republicans will watch it. This is our weapon, guys. #AStarIsBorn https://twitter.com/cleanbandit/status/1050504609469489153 …","","","","1539303293000","5:14 PM - 11 Oct 2018","/tanyamparker/status/1050540270301921280"
